


🇨🇳｜央视频道,#genre#

CCTV1 综合,http://113.207.84.197:8090/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8
CCTV2 财经,http://113.207.84.197:8090/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8
CCTV3 综艺,http://113.207.84.197:8090/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8
CCTV4 中文国际,http://113.207.84.197:8090/__cl/cg:live/__c/cctv4HD/__op/default/__f/index.m3u8
CCTV5 体育,http://113.207.84.197:8090/__cl/cg:live/__c/cctv5HD/__op/default/__f/index.m3u8
CCTV5+ 体育赛事,http://113.207.84.197:8090/__cl/cg:live/__c/cctv5SportHD/__op/default/__f/index.m3u8
CCTV6 电影,http://113.207.84.197:8090/__cl/cg:live/__c/cctv6HD/__op/default/__f/index.m3u8
CCTV7 国防军事,http://113.207.84.197:8090/__cl/cg:live/__c/cctv7HD/__op/default/__f/index.m3u8
CCTV8 电视剧,http://113.207.84.197:8090/__cl/cg:live/__c/cctv8HD/__op/default/__f/index.m3u8
CCTV9 纪录,http://113.207.84.197:8090/__cl/cg:live/__c/cctv9HD/__op/default/__f/index.m3u8
CCTV10 科教,http://113.207.84.197:8090/__cl/cg:live/__c/cctv10HD/__op/default/__f/index.m3u8
CCTV11 戏曲,http://113.207.84.197:8090/__cl/cg:live/__c/cctv11HD/__op/default/__f/index.m3u8
CCTV12 社会与法,http://113.207.84.197:8090/__cl/cg:live/__c/cctv12HD/__op/default/__f/index.m3u8
CCTV13 新闻,http://113.207.84.197:8090/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f/index.m3u8
CCTV14 少儿,http://113.207.84.197:8090/__cl/cg:live/__c/cctvseHD/__op/default/__f/index.m3u8
CCTV15 音乐,http://113.207.84.197:8090/__cl/cg:live/__c/cctv15HD/__op/default/__f/index.m3u8
CCTV16 奥林匹克,http://113.207.84.197:8090/__cl/cg:live/__c/cctv16HD/__op/default/__f/index.m3u8
CCTV17 农业农村,http://113.207.84.197:8090/__cl/cg:live/__c/cctv17HD/__op/default/__f/index.m3u8


CCTV1 综合,http://113.207.84.197:8090/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8
CCTV2 财经,http://113.207.84.197:8090/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8
CCTV3 综艺,http://113.207.84.197:8090/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8
CCTV4 中文国际,http://113.207.84.197:8090/__cl/cg:live/__c/cctv4HD/__op/default/__f/index.m3u8
CCTV5 体育,http://113.207.84.197:8090/__cl/cg:live/__c/cctv5HD/__op/default/__f/index.m3u8
CCTV5+ 体育赛事,http://113.207.84.197:8090/__cl/cg:live/__c/cctv5SportHD/__op/default/__f/index.m3u8
CCTV6 电影,http://113.207.84.197:8090/__cl/cg:live/__c/cctv6HD/__op/default/__f/index.m3u8
CCTV7 国防军事,http://113.207.84.197:8090/__cl/cg:live/__c/cctv7HD/__op/default/__f/index.m3u8
CCTV8 电视剧,http://113.207.84.197:8090/__cl/cg:live/__c/cctv8HD/__op/default/__f/index.m3u8
CCTV9 纪录,http://113.207.84.197:8090/__cl/cg:live/__c/cctv9HD/__op/default/__f/index.m3u8
CCTV10 科教,http://113.207.84.197:8090/__cl/cg:live/__c/cctv10HD/__op/default/__f/index.m3u8
CCTV11 戏曲,http://113.207.84.197:8090/__cl/cg:live/__c/cctv11HD/__op/default/__f/index.m3u8
CCTV12 社会与法,http://113.207.84.197:8090/__cl/cg:live/__c/cctv12HD/__op/default/__f/index.m3u8
CCTV13 新闻,http://113.207.84.197:8090/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f/index.m3u8
CCTV14 少儿,http://113.207.84.197:8090/__cl/cg:live/__c/cctvseHD/__op/default/__f/index.m3u8
CCTV15 音乐,http://113.207.84.197:8090/__cl/cg:live/__c/cctv15HD/__op/default/__f/index.m3u8
CCTV16 奥林匹克,http://113.207.84.197:8090/__cl/cg:live/__c/cctv16HD/__op/default/__f/index.m3u8
CCTV17 农业农村,http://113.207.84.197:8090/__cl/cg:live/__c/cctv17HD/__op/default/__f/index.m3u8


CCTV1 综合,http://218.29.55.44:808/hls/1/index.m3u8
CCTV2 财经,http://218.29.55.44:808/hls/2/index.m3u8
CCTV3 综艺,http://218.29.55.44:808/hls/3/index.m3u8
CCTV4 中文国际,http://218.29.55.44:808/hls/4/index.m3u8
CCTV5 体育,http://218.29.55.44:808/hls/5/index.m3u8
CCTV6 电影,http://218.29.55.44:808/hls/6/index.m3u8
CCTV7 国防军事,http://218.29.55.44:808/hls/7/index.m3u8
CCTV8 电视剧,http://218.29.55.44:808/hls/8/index.m3u8
CCTV9 纪录,http://218.29.55.44:808/hls/9/index.m3u8
CCTV10 科教,http://218.29.55.44:808/hls/10/index.m3u8
CCTV11 戏曲,http://218.29.55.44:808/hls/11/index.m3u8
CCTV12 社会与法,http://218.29.55.44:808/hls/12/index.m3u8
CCTV13 新闻,http://218.29.55.44:808/hls/13/index.m3u8
CCTV14 少儿,http://218.29.55.44:808/hls/14/index.m3u8
CCTV15 音乐,http://218.29.55.44:808/hls/24/index.m3u8

CCTV1 综合,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV2 财经,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV3 综艺,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV4 中文国际,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV5 体育,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV6 电影,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV7 国防军事,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV8 电视剧,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV9 纪录,http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV10 科教,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV11 戏曲,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV12 社会与法,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV13 新闻,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV14 少儿,http://live.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV15 音乐,http://live.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV16 奥林匹克,http://live.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV17 农业农村,http://live.cooltv.top/tv/aishang.php?id=cctv17hd

CCTV1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV4 中文国际,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4 中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV5 体育,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5+ 体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV8 电视剧,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV9 纪录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV10 科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV13 新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV15 音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV16 奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?

CCTV1 综合,http://218.29.55.44:808/hls/1/index.m3u8
CCTV2 财经,http://218.29.55.44:808/hls/2/index.m3u8
CCTV3 综艺,http://218.29.55.44:808/hls/3/index.m3u8
CCTV4 中文国际,http://218.29.55.44:808/hls/4/index.m3u8
CCTV5 体育,http://218.29.55.44:808/hls/5/index.m3u8
CCTV6 电影,http://218.29.55.44:808/hls/6/index.m3u8
CCTV7 国防军事,http://218.29.55.44:808/hls/7/index.m3u8
CCTV8 电视剧,http://218.29.55.44:808/hls/8/index.m3u8
CCTV9 纪录,http://218.29.55.44:808/hls/9/index.m3u8
CCTV10 科教,http://218.29.55.44:808/hls/10/index.m3u8
CCTV11 戏曲,http://218.29.55.44:808/hls/11/index.m3u8
CCTV12 社会与法,http://218.29.55.44:808/hls/12/index.m3u8
CCTV13 新闻,http://218.29.55.44:808/hls/13/index.m3u8
CCTV14 少儿,http://218.29.55.44:808/hls/14/index.m3u8
CCTV15 音乐,http://218.29.55.44:808/hls/24/index.m3u8

CCTV1 综合,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240127_1/playlist.m3u8?CONTENTID=00000110240127_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
